time,base_heading,distance_ball_base,distance_ball_hand
0.5770,1.9144,0.0000,0.0000
0.5780,1.9144,0.0000,0.0000
0.5790,1.9144,0.0000,0.0000
0.5800,1.9144,0.0000,0.0000
0.5810,-4.5288,0.0000,0.0000
0.5820,-4.5396,0.0000,0.0000
0.5830,-4.5548,0.0000,0.0000
0.5840,-4.5738,0.0000,0.0000
0.5850,-4.5959,0.0000,0.0000
0.5860,-4.6207,0.0000,0.0000
0.5870,-4.6472,0.0000,0.0000
0.5880,-4.6704,0.0000,0.0000
0.5890,-4.6786,0.0000,0.0000
0.5900,-4.6868,0.0000,0.0000
0.5910,-4.6949,0.0000,0.0000
0.5920,-4.7031,0.0000,0.0000
0.5930,-4.7113,0.0000,0.0000
0.5940,1.5637,0.0000,0.0000
0.5950,1.5555,0.0000,0.0000
0.5960,1.5472,0.0000,0.0000
0.5970,1.5390,0.0000,0.0000
0.5980,1.5308,0.0000,0.0000
0.5990,1.5226,0.0000,0.0000
0.6000,1.5144,0.0000,0.0000
0.6010,1.5062,0.0000,0.0000
0.6020,1.4980,0.0000,0.0000
0.6030,1.4898,0.0000,0.0000
0.6040,1.4815,0.0000,0.0000
0.6050,1.4733,0.0000,0.0000
0.6060,1.4651,0.0000,0.0000
0.6070,1.4569,0.0000,0.0000
0.6080,1.4486,0.0000,0.0000
0.6090,1.4404,0.0000,0.0000
0.6100,1.4322,0.0000,0.0000
0.6110,1.4239,0.0000,0.0000
0.6120,1.4157,0.0000,0.0000
0.6130,1.4075,0.0000,0.0000
0.6140,1.3992,0.0000,0.0000
0.6150,1.3910,0.0000,0.0000
0.6160,1.3828,0.0000,0.0000
0.6170,1.3745,0.0000,0.0000
0.6180,1.3663,0.0000,0.0000
0.6190,1.3581,0.0000,0.0000
0.6200,1.3498,0.0000,0.0000
0.6210,1.3416,0.0000,0.0000
0.6220,1.3333,0.0000,0.0000
0.6230,1.3251,0.0000,0.0000
0.6240,1.3169,0.0000,0.0000
0.6250,1.3086,0.0000,0.0000
0.6260,1.3004,0.0000,0.0000
0.6270,1.2921,0.0000,0.0000
0.6280,1.2839,0.0000,0.0000
0.6290,1.2757,0.0000,0.0000
0.6300,1.2674,0.0000,0.0000
0.6310,1.2592,0.0000,0.0000
0.6320,1.2509,0.0000,0.0000
0.6330,1.2427,0.0000,0.0000
0.6340,1.2344,0.0000,0.0000
0.6350,1.2262,0.0000,0.0000
0.6360,1.2180,0.0000,0.0000
0.6370,1.2097,0.0000,0.0000
0.6380,1.2015,0.0000,0.0000
0.6390,1.1932,0.0000,0.0000
0.6400,1.1850,0.0000,0.0000
0.6410,1.1767,0.0000,0.0000
0.6420,1.1685,0.0000,0.0000
0.6430,1.1602,0.0000,0.0000
0.6440,1.1520,0.0000,0.0000
0.6450,1.1437,0.0000,0.0000
0.6460,1.1355,0.0000,0.0000
0.6470,1.1272,0.0000,0.0000
0.6480,1.1190,0.0000,0.0000
0.6490,1.1108,0.0000,0.0000
0.6500,1.1025,0.0000,0.0000
0.6510,1.0943,0.0000,0.0000
0.6520,1.0860,0.0000,0.0000
0.6530,1.0778,0.0000,0.0000
0.6540,1.0695,0.0000,0.0000
0.6550,1.0613,0.0000,0.0000
0.6560,1.0530,0.0000,0.0000
0.6570,1.0448,0.0000,0.0000
0.6580,1.0365,0.0000,0.0000
0.6590,1.0283,0.0000,0.0000
0.6600,1.0200,0.0000,0.0000
0.6610,1.0118,0.0000,0.0000
0.6620,1.0035,0.0000,0.0000
0.6630,0.9953,0.0000,0.0000
0.6640,0.9870,0.0000,0.0000
0.6650,0.9788,0.0000,0.0000
0.6660,0.9705,0.0000,0.0000
0.6670,0.9623,0.0000,0.0000
0.6680,0.9540,0.0000,0.0000
0.6690,0.9458,0.0000,0.0000
0.6700,0.9375,0.0000,0.0000
0.6710,0.9293,0.0000,0.0000
0.6720,0.9210,0.0000,0.0000
0.6730,0.9128,0.0000,0.0000
0.6740,0.9045,0.0000,0.0000
0.6750,0.8963,0.0000,0.0000
0.6760,0.8880,0.0000,0.0000
0.6770,0.8798,0.0000,0.0000
0.6780,0.8715,0.0000,0.0000
0.6790,0.8633,0.0000,0.0000
0.6800,0.8554,0.0000,0.0000
