time,eye_theta_error_l,eye_theta_error_r
0.752000,-0.046841,-0.046841
0.753000,-0.046841,-0.046841
0.754000,-0.046841,-0.046841
0.755000,-0.046841,-0.046841
0.756000,-0.046841,-0.046841
0.757000,-0.046841,-0.046841
0.758000,-0.046841,-0.046841
0.759000,-0.046841,-0.046841
0.760000,-0.046841,-0.046841
0.761000,-0.046841,-0.046841
0.762000,-0.046841,-0.046841
0.763000,-0.046841,-0.046841
0.764000,-0.046841,-0.046841
0.765000,-0.046841,-0.046841
0.766000,-0.046841,-0.046841
0.767000,-0.046841,-0.046841
0.768000,-0.046841,-0.046841
0.769000,-0.046841,-0.046841
0.770000,-0.046841,-0.046841
0.771000,-0.039043,-0.054633
0.772000,-0.039043,-0.054633
0.773000,-0.039043,-0.054633
0.774000,-0.039043,-0.054633
0.775000,-0.039043,-0.054633
0.776000,-0.046841,-0.046841
0.777000,-0.046841,-0.046841
0.778000,-0.046841,-0.046841
0.779000,-0.046841,-0.046841
0.780000,-0.046841,-0.046841
0.781000,-0.039043,-0.046841
0.782000,-0.039043,-0.046841
0.783000,-0.039043,-0.046841
0.784000,-0.039043,-0.046841
0.785000,-0.039043,-0.046841
0.786000,-0.046841,-0.039043
0.787000,-0.046841,-0.039043
0.788000,-0.046841,-0.039043
0.789000,-0.046841,-0.039043
0.790000,-0.046841,-0.039043
0.791000,-0.039043,-0.039043
0.792000,-0.039043,-0.039043
0.793000,-0.039043,-0.039043
0.794000,-0.039043,-0.039043
0.795000,-0.039043,-0.039043
0.796000,-0.039043,-0.046841
0.797000,-0.039043,-0.046841
0.798000,-0.039043,-0.046841
0.799000,-0.039043,-0.046841
0.800000,-0.039043,-0.046841
0.801000,-0.039043,-0.046841
0.802000,-0.039043,-0.046841
0.803000,-0.039043,-0.046841
0.804000,-0.039043,-0.046841
0.805000,-0.039043,-0.046841
0.806000,-0.039043,-0.039043
0.807000,-0.039043,-0.039043
0.808000,-0.039043,-0.039043
0.809000,-0.039043,-0.039043
0.810000,-0.039043,-0.039043
0.811000,-0.039043,-0.039043
0.812000,-0.039043,-0.039043
0.813000,-0.039043,-0.039043
0.814000,-0.039043,-0.039043
0.815000,-0.039043,-0.039043
0.816000,-0.031240,-0.039043
0.817000,-0.031240,-0.039043
0.818000,-0.031240,-0.039043
0.819000,-0.031240,-0.039043
0.820000,-0.031240,-0.039043
0.821000,-0.031240,-0.039043
0.822000,-0.031240,-0.039043
0.823000,-0.031240,-0.039043
0.824000,-0.031240,-0.039043
0.825000,-0.031240,-0.039043
0.826000,-0.031240,-0.039043
0.827000,-0.031240,-0.039043
0.828000,-0.031240,-0.039043
0.829000,-0.031240,-0.039043
0.830000,-0.031240,-0.039043
0.831000,-0.031240,-0.031240
0.832000,-0.031240,-0.031240
0.833000,-0.031240,-0.031240
0.834000,-0.031240,-0.031240
0.835000,-0.031240,-0.031240
0.836000,-0.031240,-0.039043
0.837000,-0.031240,-0.039043
0.838000,-0.031240,-0.039043
0.839000,-0.031240,-0.039043
0.840000,-0.031240,-0.039043
0.841000,-0.031240,-0.031240
0.842000,-0.031240,-0.031240
0.843000,-0.031240,-0.031240
0.844000,-0.031240,-0.031240
0.845000,-0.031240,-0.031240
0.846000,-0.031240,-0.031240
0.847000,-0.031240,-0.031240
0.848000,-0.031240,-0.031240
0.849000,-0.031240,-0.031240
0.850000,-0.031240,-0.031240
0.851000,-0.023433,-0.031240
0.852000,-0.023433,-0.031240
0.853000,-0.023433,-0.031240
0.854000,-0.023433,-0.031240
0.855000,-0.023433,-0.031240
0.856000,-0.023433,-0.031240
0.857000,-0.023433,-0.031240
0.858000,-0.023433,-0.031240
0.859000,-0.023433,-0.031240
0.860000,-0.023433,-0.031240
0.861000,-0.023433,-0.031240
0.862000,-0.023433,-0.031240
0.863000,-0.023433,-0.031240
0.864000,-0.023433,-0.031240
0.865000,-0.023433,-0.031240
0.866000,-0.031240,-0.031240
0.867000,-0.031240,-0.031240
0.868000,-0.031240,-0.031240
0.869000,-0.031240,-0.031240
0.870000,-0.031240,-0.031240
0.871000,-0.023433,-0.023433
0.872000,-0.023433,-0.023433
0.873000,-0.023433,-0.023433
0.874000,-0.023433,-0.023433
0.875000,-0.023433,-0.023433
0.876000,-0.031240,-0.023433
0.877000,-0.031240,-0.023433
0.878000,-0.031240,-0.023433
0.879000,-0.031240,-0.023433
0.880000,-0.031240,-0.023433
0.881000,-0.015624,-0.023433
0.882000,-0.015624,-0.023433
0.883000,-0.015624,-0.023433
0.884000,-0.015624,-0.023433
0.885000,-0.015624,-0.023433
0.886000,-0.031240,-0.023433
0.887000,-0.031240,-0.023433
0.888000,-0.031240,-0.023433
0.889000,-0.031240,-0.023433
0.890000,-0.031240,-0.023433
0.891000,-0.015624,-0.031240
0.892000,-0.015624,-0.031240
0.893000,-0.015624,-0.031240
0.894000,-0.015624,-0.031240
0.895000,-0.015624,-0.031240
0.896000,-0.023433,-0.023433
0.897000,-0.023433,-0.023433
0.898000,-0.023433,-0.023433
0.899000,-0.023433,-0.023433
0.900000,-0.023433,-0.023433
