time,eye_theta_error_l,eye_theta_error_r
0.563000,-0.062419,-0.077967
0.564000,-0.062419,-0.077967
0.565000,-0.062419,-0.077967
0.566000,-0.054633,-0.062419
0.567000,-0.054633,-0.062419
0.568000,-0.054633,-0.062419
0.569000,-0.054633,-0.062419
0.570000,-0.054633,-0.062419
0.571000,-0.023433,-0.023433
0.572000,-0.023433,-0.023433
0.573000,-0.023433,-0.023433
0.574000,-0.023433,-0.023433
0.575000,-0.023433,-0.023433
0.576000,-0.007812,0.000000
0.577000,-0.007812,0.000000
0.578000,-0.007812,0.000000
0.579000,-0.007812,0.000000
0.580000,-0.007812,0.000000
0.581000,0.031240,0.031240
0.582000,0.031240,0.031240
0.583000,0.031240,0.031240
0.584000,0.031240,0.031240
0.585000,0.031240,0.031240
0.586000,0.046841,0.054633
0.587000,0.046841,0.054633
0.588000,0.046841,0.054633
0.589000,0.046841,0.054633
0.590000,0.046841,0.054633
0.591000,0.062419,0.070197
0.592000,0.062419,0.070197
0.593000,0.062419,0.070197
0.594000,0.062419,0.070197
0.595000,0.062419,0.070197
0.596000,0.070197,0.077967
0.597000,0.070197,0.077967
0.598000,0.070197,0.077967
0.599000,0.070197,0.077967
0.600000,0.070197,0.077967
0.601000,0.077967,0.085727
0.602000,0.077967,0.085727
0.603000,0.077967,0.085727
0.604000,0.077967,0.085727
0.605000,0.077967,0.085727
0.606000,0.077967,0.085727
0.607000,0.077967,0.085727
0.608000,0.077967,0.085727
0.609000,0.077967,0.085727
0.610000,0.077967,0.085727
0.611000,0.077967,0.085727
0.612000,0.077967,0.085727
0.613000,0.077967,0.085727
0.614000,0.077967,0.085727
0.615000,0.077967,0.085727
0.616000,0.077967,0.085727
0.617000,0.077967,0.085727
0.618000,0.077967,0.085727
0.619000,0.077967,0.085727
0.620000,0.077967,0.085727
0.621000,0.085727,0.101215
0.622000,0.085727,0.101215
0.623000,0.085727,0.101215
0.624000,0.085727,0.101215
0.625000,0.085727,0.101215
0.626000,0.093477,0.101215
0.627000,0.093477,0.101215
0.628000,0.093477,0.101215
0.629000,0.093477,0.101215
0.630000,0.093477,0.101215
0.631000,0.101215,0.108942
0.632000,0.101215,0.108942
0.633000,0.101215,0.108942
0.634000,0.101215,0.108942
0.635000,0.101215,0.108942
0.636000,0.101215,0.108942
0.637000,0.101215,0.108942
0.638000,0.101215,0.108942
0.639000,0.101215,0.108942
0.640000,0.101215,0.108942
0.641000,0.108942,0.116655
0.642000,0.108942,0.116655
0.643000,0.108942,0.116655
0.644000,0.108942,0.116655
0.645000,0.108942,0.116655
0.646000,0.108942,0.116655
0.647000,0.108942,0.116655
0.648000,0.108942,0.116655
0.649000,0.108942,0.116655
0.650000,0.108942,0.116655
0.651000,0.116655,0.116655
0.652000,0.116655,0.116655
0.653000,0.116655,0.116655
0.654000,0.116655,0.116655
0.655000,0.116655,0.116655
0.656000,0.116655,0.116655
0.657000,0.116655,0.116655
0.658000,0.116655,0.116655
0.659000,0.116655,0.116655
0.660000,0.116655,0.116655
0.661000,0.116655,0.124355
0.662000,0.116655,0.124355
0.663000,0.116655,0.124355
0.664000,0.116655,0.124355
0.665000,0.116655,0.124355
0.666000,0.124355,0.132040
0.667000,0.124355,0.132040
0.668000,0.124355,0.132040
0.669000,0.124355,0.132040
0.670000,0.124355,0.132040
0.671000,0.124355,0.132040
0.672000,0.124355,0.132040
0.673000,0.124355,0.132040
0.674000,0.124355,0.132040
0.675000,0.124355,0.132040
0.676000,0.132040,0.132040
0.677000,0.132040,0.132040
0.678000,0.132040,0.132040
0.679000,0.132040,0.132040
0.680000,0.132040,0.132040
0.681000,0.132040,0.124355
0.682000,0.132040,0.124355
0.683000,0.132040,0.124355
0.684000,0.132040,0.124355
0.685000,0.132040,0.124355
0.686000,0.124355,0.116655
0.687000,0.124355,0.116655
0.688000,0.124355,0.116655
0.689000,0.124355,0.116655
0.690000,0.124355,0.116655
0.691000,0.124355,0.116655
0.692000,0.124355,0.116655
0.693000,0.124355,0.116655
0.694000,0.124355,0.116655
0.695000,0.124355,0.116655
0.696000,0.116655,0.124355
0.697000,0.116655,0.124355
0.698000,0.116655,0.124355
0.699000,0.116655,0.124355
0.700000,0.116655,0.124355
0.701000,0.124355,0.116655
0.702000,0.124355,0.116655
0.703000,0.124355,0.116655
0.704000,0.124355,0.116655
0.705000,0.124355,0.116655
0.706000,0.116655,0.108942
0.707000,0.116655,0.108942
0.708000,0.116655,0.108942
0.709000,0.116655,0.108942
0.710000,0.116655,0.108942
0.711000,0.116655,0.108942
0.712000,0.116655,0.108942
0.713000,0.116655,0.108942
0.714000,0.116655,0.108942
0.715000,0.116655,0.108942
0.716000,0.108942,0.101215
0.717000,0.108942,0.101215
0.718000,0.108942,0.101215
0.719000,0.108942,0.101215
0.720000,0.108942,0.101215
0.721000,0.108942,0.101215
0.722000,0.108942,0.101215
0.723000,0.108942,0.101215
0.724000,0.108942,0.101215
0.725000,0.108942,0.101215
0.726000,0.101215,0.093477
0.727000,0.101215,0.093477
0.728000,0.101215,0.093477
