time,base_err
0.722000,-2.680853
0.723000,-2.675794
0.724000,-2.670716
0.725000,-2.665618
0.726000,-2.660502
0.727000,-2.655366
0.728000,-2.650212
0.729000,-2.645041
0.730000,-2.639851
0.731000,-2.634645
0.732000,-2.629422
0.733000,-2.624182
0.734000,-2.618926
0.735000,-2.613655
0.736000,-2.608368
0.737000,-2.603065
0.738000,-2.597749
0.739000,-2.592417
0.740000,-2.587072
0.741000,-2.581713
0.742000,-2.576340
0.743000,-2.570955
0.744000,-2.565557
0.745000,-2.560146
0.746000,-2.554723
0.747000,-2.549288
0.748000,-2.543841
0.749000,-2.538384
0.750000,-2.532915
0.751000,-2.527436
0.752000,-2.521946
0.753000,-2.516446
0.754000,-3.001811
0.755000,-2.996139
0.756000,-2.990407
0.757000,-2.984623
0.758000,-2.978795
0.759000,-2.972928
0.760000,-2.967024
0.761000,-2.961086
0.762000,-2.955116
0.763000,-2.949116
0.764000,-2.943087
0.765000,-2.937032
0.766000,-2.930951
0.767000,-2.924846
0.768000,-2.918718
0.769000,-2.912568
0.770000,-2.906397
0.771000,-2.900206
0.772000,-2.893996
0.773000,-2.887769
0.774000,-2.881524
0.775000,-2.875263
0.776000,-2.868988
0.777000,-2.862697
0.778000,-2.856393
0.779000,-2.850077
0.780000,-2.843747
0.781000,-2.837407
0.782000,-0.294089
0.783000,-0.335427
0.784000,-0.374334
0.785000,-0.411059
0.786000,-0.445876
0.787000,-0.477015
0.788000,-0.505719
0.789000,-0.532363
0.790000,-0.557264
0.791000,-0.580694
0.792000,-0.601346
0.793000,-0.620173
0.794000,-0.637464
0.795000,-0.653459
0.796000,-0.668362
0.797000,-0.681270
0.798000,-0.692859
0.799000,-0.703338
0.800000,-0.712883
0.801000,-0.721641
0.802000,-0.729036
0.803000,-0.735520
0.804000,-0.741237
0.805000,-0.746309
0.806000,-0.750838
0.807000,-0.754464
0.808000,-0.757481
0.809000,-0.759985
0.810000,-0.762057
0.811000,-0.763767
0.812000,-0.764836
0.813000,-0.765479
0.814000,-0.765765
0.815000,-0.765749
0.816000,-0.765480
0.817000,-0.764775
0.818000,-0.763779
0.819000,-0.762537
0.820000,-0.761089
0.821000,-0.759468
0.822000,-0.757626
0.823000,-0.755625
0.824000,-0.753489
0.825000,-0.751240
0.826000,-0.748895
0.827000,-0.746397
0.828000,-0.743794
0.829000,-0.741102
0.830000,-0.738337
0.831000,-0.735510
0.832000,-0.732593
0.833000,-0.729614
0.834000,-0.726582
0.835000,-0.723506
0.836000,-0.720393
0.837000,-0.717212
0.838000,-0.713985
0.839000,-0.710721
0.840000,-0.707424
0.841000,-0.704101
0.842000,-0.700793
0.843000,-0.697484
0.844000,-0.694176
0.845000,-0.690866
0.846000,-0.687557
0.847000,-0.684211
0.848000,-0.680845
0.849000,-0.677464
0.850000,-0.674070
0.851000,-0.670664
0.852000,-0.667286
0.853000,-0.663919
0.854000,-0.660560
0.855000,-0.657210
0.856000,-0.653865
0.857000,-0.650526
0.858000,-0.647192
0.859000,-0.643861
0.860000,-0.640533
0.861000,-0.637208
0.862000,-0.633885
0.863000,-0.630564
0.864000,-0.627245
0.865000,-0.623926
0.866000,-0.620609
0.867000,-0.617292
0.868000,-0.613977
0.869000,-0.610661
0.870000,-0.607346
0.871000,-0.604032
0.872000,-0.600754
0.873000,-0.597496
0.874000,-0.594253
0.875000,-0.591023
0.876000,-0.587804
0.877000,-0.584632
0.878000,-0.581485
0.879000,-0.578361
0.880000,-0.575256
0.881000,-0.572166
0.882000,-0.569126
0.883000,-0.566116
0.884000,-0.563131
0.885000,-0.560166
0.886000,-0.557219
0.887000,-0.554287
0.888000,-0.551367
0.889000,-0.548457
0.890000,-0.545556
0.891000,-0.542662
0.892000,-0.539774
0.893000,-0.536891
0.894000,-0.534012
0.895000,-0.531136
0.896000,-0.528264
0.897000,-0.525467
0.898000,-0.522710
0.899000,-0.519986
0.900000,-0.517289
0.901000,-0.514616
0.902000,-0.511962
0.903000,-0.509324
0.904000,-0.506700
0.905000,-0.504087
0.906000,-0.501484
0.907000,-0.498889
0.908000,-0.496301
0.909000,-0.493718
0.910000,-0.491140
0.911000,-0.488565
0.912000,-0.485994
0.913000,-0.483426
0.914000,-0.480859
0.915000,-0.478294
0.916000,-0.475731
0.917000,-0.473206
0.918000,-0.470700
0.919000,-0.468210
0.920000,-0.465734
0.921000,-0.463270
0.922000,-0.460852
0.923000,-0.458460
0.924000,-0.456091
0.925000,-0.453741
0.926000,-0.451407
0.927000,-0.449085
0.928000,-0.446775
0.929000,-0.444474
0.930000,-0.442181
0.931000,-0.439894
0.932000,-0.437612
0.933000,-0.435335
0.934000,-0.433062
0.935000,-0.430791
0.936000,-0.428523
0.937000,-0.426294
0.938000,-0.424085
0.939000,-0.421894
0.940000,-0.419716
0.941000,-0.417550
0.942000,-0.415395
0.943000,-0.413247
0.944000,-0.411107
0.945000,-0.408972
0.946000,-0.406843
0.947000,-0.404754
0.948000,-0.402687
0.949000,-0.400638
0.950000,-0.398605
0.951000,-0.396585
0.952000,-0.394575
0.953000,-0.392575
0.954000,-0.390582
